optimizer,iteration,total,mechanical,volumetric,dK,dZ,LKG,lF,zeta
BO,19,174.35171532,167.37673,6.97498532,19.189021,19.204,46.7,36.50229,5.0
BO,12,185.00332067000002,178.177071,6.82624967,19.24136,19.257,50.2,36.384521,5.0
BO,1,219.42242290000002,195.790109,23.6323139,19.351768,19.37,46.7,30.786084,5.0
BO,5,221.3520416,204.196722,17.1553196,19.978094,19.996,52.8,36.248719,5.0
BO,9,232.933994,232.933994,0.0,19.430729,19.442,48.8,32.126084,5.0
NSGA-III,15,164.808717553,164.549835,0.258882553,19.192473,19.204,52.4,31.761853,5.0
NSGA-III,7,172.2948709,158.719934,13.5749369,18.988418,19.005,49.6,36.034422,5.0
NSGA-III,9,182.35127792,178.930314,3.42096392,19.36082,19.374,49.1,28.94465,5.0
NSGA-III,3,190.3042683,169.115796,21.1884723,19.087346,19.106,54.4,36.272828,5.0
NSGA-III,18,193.02955830000002,170.876968,22.1525903,19.211179,19.23,52.3,35.665028,5.0
