optimizer,iteration,total,penalized_total,mechanical,volumetric,max_contact_pressure,avg_contact_pressure,contact_pressure_penalty,dK,dZ,clearance,LKG,lF,zeta,pattern_type,contact_pressure_valid
Generation-NSGA-III,18,13.908935998,13.908935998,12.9538471,0.955088898,0.0,0.0,0.0,19.383,19.406,0.022999999999999687,0.0,34.1,1.0,generation,False
Generation-NSGA-III,18,13.947709273000001,13.947709273000001,13.5065658,0.441143473,0.0,0.0,0.0,19.381,19.401,0.019999999999999574,0.0,34.1,1.0,generation,False
Generation-NSGA-III,1,14.482244412,14.482244412,13.9505352,0.531709212,0.0,0.0,0.0,19.349,19.368,0.01899999999999835,0.0,34.1,1.0,generation,False
Generation-NSGA-III,15,14.557834884,14.557834884,14.0245698,0.533265084,0.0,0.0,0.0,19.383,19.402,0.019000000000001904,0.0,34.1,1.0,generation,False
Generation-NSGA-III,16,14.563995039,14.563995039,14.0306228,0.533372239,0.0,0.0,0.0,19.385,19.404,0.01899999999999835,0.0,34.1,1.0,generation,False
Generation-NSGA-III_no_penalty,18,13.908935998,13.908935998,12.9538471,0.955088898,0.0,0.0,0.0,19.383,19.406,0.022999999999999687,0.0,34.1,1.0,generation,False
Generation-NSGA-III_no_penalty,18,13.947709273000001,13.947709273000001,13.5065658,0.441143473,0.0,0.0,0.0,19.381,19.401,0.019999999999999574,0.0,34.1,1.0,generation,False
Generation-NSGA-III_no_penalty,1,14.482244412,14.482244412,13.9505352,0.531709212,0.0,0.0,0.0,19.349,19.368,0.01899999999999835,0.0,34.1,1.0,generation,False
Generation-NSGA-III_no_penalty,15,14.557834884,14.557834884,14.0245698,0.533265084,0.0,0.0,0.0,19.383,19.402,0.019000000000001904,0.0,34.1,1.0,generation,False
Generation-NSGA-III_no_penalty,16,14.563995039,14.563995039,14.0306228,0.533372239,0.0,0.0,0.0,19.385,19.404,0.01899999999999835,0.0,34.1,1.0,generation,False
