speed,presssure,displacement
500,50,7
500,50,14
500,100,7
500,100,14
500,200,7
500,200,14
500,250,7
500,250,14
500,320,7
500,320,14
500,380,7
500,380,14
1500,50,7
1500,50,14
1500,100,7
1500,100,14
1500,200,7
1500,200,14
1500,250,7
1500,250,14
1500,320,7
1500,320,14
1500,380,7
1500,380,14
2500,50,7
2500,50,14
2500,100,7
2500,100,14
2500,200,7
2500,200,14
2500,250,7
2500,250,14
2500,320,7
2500,320,14
2500,380,7
2500,380,14
3500,50,7
3500,50,14
3500,100,7
3500,100,14
3500,200,7
3500,200,14
3500,250,7
3500,250,14
3500,320,7
3500,320,14
3500,380,7
3500,380,14
4500,50,7
4500,50,14
4500,100,7
4500,100,14
4500,200,7
4500,200,14
4500,250,7
4500,250,14
4500,320,7
4500,320,14
4500,380,7
4500,380,14
